customer_id,signup_days_ago,plan_type,monthly_payment,last_login_days_ago,login_count_90d,support_tickets_90d,churned_next_30d
CUST00268,809,basic,11311.199999999999,4.3,22,2.0,0
CUST00073,892,premium,22600.8,14.6,26,1.0,0
CUST00289,212,basic,6339.599999999999,,22,0.0,0
CUST00155,350,basic,7693.2,46.5,26,0.0,0
CUST00104,655,basic,9130.199999999999,9.9,20,0.0,0
CUST00280,93,trial_promo,16347.0,4.9,21,,0
CUST00392,684,premium,17991.0,9.6,37,1.0,0
CUST00124,848,premium,29890.8,47.1,30,1.0,0
CUST00068,225,basic,8805.6,25.8,25,1.0,0
CUST00244,767,standard,15655.0,23.5,24,1.0,0
CUST00009,399,basic,9273.6,5.5,22,0.0,1
CUST00195,812,standard,13839.0,5.3,24,1.0,0
CUST00304,764,basic,10289.4,,30,1.0,0
CUST00084,842,basic,10884.6,3.7,22,,0
CUST00373,815,standard,13252.0,17.1,30,2.0,0
CUST00390,457,basic,13851.6,1.6,28,3.0,0
CUST00497,235,basic,8016.0,32.3,26,0.0,0
CUST00030,326,basic,8523.0,2.5,34,1.0,0
CUST00317,521,premium,31912.2,3.0,27,,0
CUST00407,777,basic,11574.0,3.5,20,,0
CUST00492,837,standard,19283.0,,33,2.0,0
CUST00493,196,standard,11937.0,7.0,30,0.0,0
CUST00225,561,standard,10651.0,0.7,19,,0
CUST00227,498,standard,9160.0,16.6,27,,0
CUST00076,20,basic,7125.0,6.0,3,,0
CUST00463,677,basic,8178.599999999999,3.9,26,1.0,0
CUST00472,687,standard,12709.0,8.3,37,1.0,0
CUST00402,435,basic,10255.199999999999,4.7,26,1.0,0
CUST00101,845,standard,21972.0,8.8,23,3.0,0
CUST00335,662,basic,10686.6,0.3,37,0.0,0
CUST00296,417,premium,22050.0,26.6,31,2.0,0
CUST00222,2,basic,10221.0,1.4,2,,0
CUST00442,384,standard,12557.0,12.3,26,1.0,0
CUST00173,234,premium,20266.2,6.2,26,1.0,0
CUST00002,538,premium,27730.8,9.7,20,2.0,0
CUST00334,185,basic,9887.4,3.0,21,0.0,0
CUST00272,606,standard,9410.0,33.3,23,3.0,0
CUST00070,357,basic,276544.80000000005,10.4,17,1.0,0
CUST00210,46,premium,28512.0,3.4,15,1.0,0
CUST00063,318,basic,7786.799999999999,5.8,23,0.0,0
CUST00347,247,premium,32776.200000000004,1.8,36,0.0,0
CUST00093,204,basic,5169.599999999999,4.9,25,2.0,0
CUST00487,593,basic,10317.6,9.5,23,2.0,0
CUST00185,248,standard,7382.0,16.0,28,3.0,0
CUST00033,184,basic,13723.199999999999,5.5,23,1.0,0
CUST00077,517,premium,27090.0,29.4,27,2.0,0
CUST00000,176,basic,7131.599999999999,0.9,24,1.0,0
CUST00011,585,basic,10903.199999999999,18.0,19,1.0,0
CUST00310,589,basic,10193.4,,21,0.0,0
CUST00022,76,standard,14861.0,3.7,21,0.0,0
CUST00072,580,basic,8530.199999999999,3.8,38,1.0,0
CUST00182,477,basic,6506.4,7.8,31,2.0,0
CUST00131,662,basic,8804.4,46.3,26,,0
CUST00412,594,premium,28317.600000000002,3.5,25,2.0,0
CUST00194,231,basic,8482.199999999999,37.0,25,,0
CUST00055,605,basic,10299.6,0.5,27,,0
CUST00148,647,basic,12817.199999999999,0.2,30,0.0,0
CUST00018,433,premium,18972.0,12.1,21,,0
CUST00428,806,basic,10296.6,2.2,25,4.0,1
CUST00078,788,basic,10020.6,12.1,27,0.0,0
CUST00496,136,standard,17726.0,16.0,21,,0
CUST00411,444,premium,24321.600000000002,7.5,30,1.0,0
CUST00324,182,basic,10663.199999999999,2.3,28,2.0,1
CUST00485,502,standard,7538.0,,38,2.0,0
CUST00079,34,premium,39942.0,20.8,28,1.0,0
CUST00039,202,standard,17261.0,23.3,25,0.0,0
CUST00453,80,basic,10908.6,9.4,19,2.0,0
CUST00046,484,standard,13194.0,15.9,35,0.0,0
CUST00266,875,premium,31487.4,27.8,23,4.0,0
CUST00393,766,premium,24195.600000000002,41.9,30,1.0,0
CUST00353,823,basic,7179.0,13.6,24,2.0,0
CUST00208,476,basic,6520.2,12.4,27,0.0,0
CUST00278,736,premium,30634.2,3.2,26,2.0,0
CUST00291,78,standard,-17402.0,2.5,22,,0
CUST00318,693,basic,10876.8,9.1,29,,0
CUST00305,574,standard,16292.0,,26,2.0,0
CUST00255,449,standard,8192.0,6.6,32,1.0,0
CUST00069,662,standard,11697.0,8.7,23,2.0,0
CUST00457,874,standard,13551.0,0.2,24,1.0,0
CUST00253,232,standard,14680.0,3.7,23,3.0,0
CUST00154,498,standard,14200.0,3.9,26,1.0,0
CUST00082,698,standard,12400.0,27.3,29,2.0,0
CUST00302,608,basic,7012.8,8.4,30,2.0,0
CUST00172,589,premium,21400.2,22.3,25,0.0,0
CUST00322,407,standard,10431.0,,27,0.0,0
CUST00090,22,standard,15890.0,,2,,0
CUST00180,671,basic,5248.2,14.8,22,2.0,0
CUST00416,153,basic,11431.8,2.1,27,,0
CUST00469,166,premium,25309.8,14.0,22,1.0,0
CUST00396,776,standard,17412.0,23.9,22,1.0,0
CUST00386,268,basic,8590.199999999999,10.3,28,1.0,0
CUST00474,660,trial_promo,13303.0,9.6,26,,0
CUST00439,575,standard,14441.0,0.4,20,3.0,0
CUST00325,547,basic,7332.0,25.7,22,0.0,1
CUST00433,179,basic,8604.0,4.3,21,2.0,0
CUST00499,625,standard,11008.0,7.6,32,1.0,0
CUST00086,416,premium,21654.0,12.6,21,1.0,0
CUST00075,482,trial_promo,17817.0,12.4,33,0.0,0
CUST00440,85,basic,6309.599999999999,9.6,25,,0
CUST00015,731,basic,12560.4,2.6,28,0.0,0
CUST00250,144,standard,14260.0,2.8,16,1.0,0
CUST00423,731,premium,22950.0,6.7,30,1.0,0
CUST00019,896,standard,12424.0,3.7,14,0.0,0
CUST00323,185,basic,-7544.4,17.6,22,0.0,0
CUST00333,275,basic,6664.8,0.0,21,1.0,0
CUST00056,765,premium,29039.4,5.8,25,1.0,0
CUST00234,267,basic,9901.8,20.3,31,0.0,0
CUST00314,411,basic,4123.2,0.2,27,,0
CUST00332,434,standard,16410.0,11.0,26,3.0,0
CUST00132,45,premium,37648.8,15.3,32,2.0,0
CUST00137,101,standard,9411.0,23.5,18,2.0,0
CUST00425,716,basic,9363.6,1.1,23,1.0,1
CUST00336,122,basic,7990.799999999999,35.2,22,1.0,0
CUST00025,7,premium,34475.4,13.0,3,,0
CUST00399,276,standard,17180.0,8.1,19,2.0,0
CUST00476,365,basic,7696.2,12.3,25,,0
CUST00248,520,basic,11368.8,3.6,26,5.0,1
CUST00238,157,standard,16624.0,37.2,21,2.0,0
CUST00117,556,basic,8529.6,6.8,31,2.0,0
CUST00042,773,basic,6016.8,3.4,16,3.0,0
CUST00237,540,basic,5239.2,11.5,21,2.0,0
CUST00176,889,basic,7380.0,6.7,26,,0
CUST00321,720,standard,16996.0,1.7,32,2.0,0
CUST00153,885,basic,9555.6,1.1,18,2.0,0
CUST00467,336,basic,9188.4,1.6,31,1.0,0
CUST00228,162,basic,8101.799999999999,6.3,33,1.0,0
CUST00426,130,basic,8190.0,9.0,24,2.0,0
CUST00204,728,premium,31474.8,1.3,32,3.0,0
CUST00126,649,premium,13109.4,5.9,26,2.0,0
CUST00369,387,basic,10071.0,4.6,25,1.0,0
CUST00031,825,basic,9405.0,,32,1.0,0
CUST00113,457,premium,26506.8,3.1,22,1.0,0
CUST00277,437,standard,14160.0,35.8,30,2.0,0
CUST00203,630,premium,17937.0,2.0,32,,0
CUST00140,30,standard,10493.0,31.1,25,1.0,0
CUST00057,584,standard,12259.0,8.0,24,1.0,0
CUST00192,699,standard,9738.0,3.0,20,0.0,0
CUST00024,251,standard,16392.0,0.8,18,,0
CUST00017,69,standard,18328.0,2.0,30,0.0,0
CUST00342,646,standard,13231.0,7.7,25,1.0,0
CUST00066,93,basic,276544.80000000005,,33,0.0,0
CUST00209,399,basic,9076.199999999999,0.2,29,,0
CUST00481,582,trial_promo,13134.6,5.0,24,1.0,0
CUST00094,48,standard,11683.0,9.1,18,2.0,0
CUST00349,239,basic,5518.8,4.2,29,0.0,0
CUST00410,787,basic,8401.8,4.3,31,3.0,0
CUST00023,824,basic,9154.8,1.2,24,0.0,0
CUST00311,401,premium,28855.8,,25,1.0,0
CUST00262,428,premium,31982.4,1.1,27,2.0,0
CUST00430,860,premium,18356.4,6.5,24,1.0,0
CUST00005,212,basic,6381.0,3.8,20,0.0,0
CUST00116,567,basic,10190.4,41.4,29,0.0,0
CUST00045,856,basic,5488.8,1.9,25,1.0,0
CUST00016,168,premium,33845.4,7.1,24,1.0,0
CUST00464,855,basic,10409.4,6.0,21,2.0,0
